date,owner,repo,stars,clones,unique_clones,views,unique_views
2026-02-17,timf34,podscript,2,0,0,0,0
2026-02-18,timf34,podscript,19,0,0,0,0
2026-02-19,timf34,podscript,34,57,28,149,94
2026-02-20,timf34,podscript,36,7,7,77,54
2026-02-21,timf34,podscript,38,4,4,59,35
2026-02-22,timf34,podscript,40,2,2,10,7
2026-02-23,timf34,podscript,41,4,4,7,6
2026-02-24,timf34,podscript,41,8,8,9,9
2026-02-25,timf34,podscript,41,3,3,2,2
2026-02-26,timf34,podscript,41,3,2,4,4
2026-02-27,timf34,podscript,41,5,5,8,5
2026-02-28,timf34,podscript,41,0,0,3,3
2026-03-01,timf34,podscript,41,0,0,2,2
